giakki/uncss,","
boot2docker/boot2docker,","
jacobian/djangobook.com,","
ReturnInfinity/BareMetal-OS-legacy,","
GetmeUK/ContentTools,","
bigspaceship/shine.js,","
webpack/react-starter,","
pkyeck/socket.IO-objc,","
thoughtbot/carnival,","
jazzband/pip-tools,","
theintern/intern,","
lballabio/quantlib-old,","
philipwalton/html-inspector,","
SheetJS/js-xls,","
rails/actioncable,","
ReactiveKit/Bond,","
SwiftBond/Bond,","
moxiecode/plupload,","
karpathy/neuraltalk,","
Valve/fingerprintjs,","
ReactiveX/RxKotlin,","
RomainPiel/Shimmer-android,","
nostalgiaz/bootstrap-switch,","
wordpress-mobile/WordPress-Editor-iOS,","
ubilabs/geocomplete,","
omab/django-social-auth,","
chrismiles/CMPopTipView,","
gorhill/httpswitchboard,","
jimbojsb/launchrocket,","
brigade/scss-lint,","
facebook/chisel,","
garyburd/redigo,","
lokesh/lightbox2,","
spotify/annoy,","
emberjs/list-view,","
jakiestfu/Snap.js,","
pires/android-obd-reader,","
EFForg/privacybadgerfirefox-legacy,","
basho/riak,","
smashwilson/merge-conflicts,","
kevana/ui-for-docker,","
karmi/retire,","
roboguice/roboguice,","
typelift/Swiftz,","
TheNewNormal/kube-solo-osx,","
rubysherpas/forem,","
brunogaspar/laravel-starter-kit,","
SirCmpwn/TrueCraft,","
gpbl/isomorphic500,","
SocketCluster/socketcluster,","
OpenKinect/libfreenect,","
dbushell/Nestable,","
heroku/react-refetch,","
scrooloose/nerdcommenter,","
lattera/glibc,","
lawloretienne/QuickReturn,","
github/swift-style-guide,","
cwRichardKim/RKNotificationHub,","
levlaz/braindump,","
overshare/overshare-kit,","
facebookarchive/huxley,","
roots/bedrock,","
youknowone/UI7Kit,","
nikic/PHP-Parser,","
nothingmagical/cheddar-ios,","
kenkeiter/skeuocard,","
inorganik/countUp.js,","
harelba/q,","
auth0/auth0-angular,","
msysgit/msysgit,","
filamentgroup/tablesaw,","
Homebrew/homebrew-dupes,","
MojoJolo/textteaser,","
adnanh/webhook,","
kattrali/cocoapods-xcode-plugin,","
AliSoftware/OHHTTPStubs,","
tonsky/datascript,","
digitalBush/jquery.maskedinput,","
h5bp/mobile-boilerplate,","
M66B/XPrivacy,","
rofrischmann/react-look,","
facebookarchive/three20,","
lucasr/twoway-view,","
turbolinks/turbolinks-classic,","
tumblr/TMCache,","
everpix/Everpix-Intelligence,","
itsabot/abot,","
tjerkw/Android-SlideExpandableListView,","
heroku/legacy-cli,","
dmytrodanylyk/circular-progress-button,","
RNCryptor/RNCryptor,","
blueimp/Bootstrap-Image-Gallery,","
23/resumable.js,","
meteoric/meteor-ionic,","
julienXX/terminal-notifier,","
PostgresApp/PostgresApp,","
YorickPeterse/oga,","
jisaacks/GitGutter,","
fgnass/spin.js,","
componentjs/component,","
schneiderandre/popping,","
sd6352051/NiftyDialogEffects,","
KeyboardFire/mkcast,","
Workiva/go-datastructures,","
jhollingworth/bootstrap-wysihtml5,","
stampit-org/stampit,","
oklai/koala,","
picocms/Pico,","
acdlite/flux-standard-action,","
danklammer/bytesize-icons,","
github/hubot-scripts,","
pedrovgs/DraggablePanel,","
css/csso,","
thoughtbot/clearance,","
BBC-News/wraith,","
alrra/browser-logos,","
direnv/direnv,","
mycolorway/simditor,","
ealeksandrov/EAIntroView,","
google/gxui,","
socketio/engine.io,
